一枚芯片，构建光镊阵列。	One chip. An array of optical tweezers.
不是凭空创造，而是能量的转化。	Energy conversion, not creation from nothing.
也可聚焦实验图后使用方向键微调。	Focus the diagram and use arrow keys for fine adjustments.
了解了	Got it
亚波长纳米结构阵列	Subwavelength nanostructure array
亚波长结构 / 局部相位延迟 / 输出波前	Subwavelength structures / Local phase delay / Output wavefront
从光场到光阱	From light fields to optical traps
传统光路实验	Conventional optics experiment
位置滑块支持键盘与触摸操作。	Position sliders support keyboard and touch input.
保持当前位置 · 连续稳定 2 秒后锁定	Hold this position for 2 seconds to lock
光子对，从这里产生。	Photon pairs begin here.
光斑表示目标光阱位置，并不代表每个光阱已装载一个原子。实际原子捕获还需要合适的失谐、冷却与真空条件。将原子用作量子比特还需要初始化、相干控制及读出，本演示不表示量子门或纠缠已经实现。	Spots indicate target trap positions, not occupied atom sites. Trapping requires suitable detuning, cooling and vacuum conditions. Using atoms as qubits also requires initialization, coherent control and readout. This demonstration does not implement quantum gates or entanglement.
光源已关闭 · 增加入射光强以继续实验	Light source off. Increase input intensity to continue.
光源关闭	Source off
光路总览	Optical layout
光镊阵列形成	Optical trap formation
光阱阵列与量子比特	Optical trap arrays and qubits
入射光场	Incident field
全屏演示	Fullscreen
关闭	Close
切换代表更换预制芯片，不是在线改写芯片。	Switching selects a different prefabricated chip, not live reprogramming.
单步演示	Step
可拖动	Drag to move
可调激光器 / 超表面相位整形 / 光阱阵列	Tunable laser / Metasurface shaping / Trap array
可调激光器	Tunable laser
器件标注	Component labels
在焦平面构建光阱	Create traps in the focal plane
在非线性晶体中，少量泵浦光子会转化为信号光子与闲置光子，满足能量守恒与相位匹配。这里演示的是光子对产生；成对产生本身不等于已经制备出纠缠态。	In a nonlinear crystal, a small fraction of pump photons convert into signal and idler photons under energy conservation and phase matching. Pair production alone does not establish entanglement.
垂直位置	Vertical position
实验原理	Principles
实验控制	Experiment controls
实验视图	Experiment view
对准度、光强与锁定阈值均为交互教学模型，不代表真实器件性能。	Alignment, intensity and locking thresholds are illustrative and do not specify actual device performance.
对准目标	Alignment target
对准度	Alignment
尺寸与相位映射仅为示意	Dimensions and phase mapping are illustrative
局部透射幅度 t 与相位 φ 共同塑造输出光场。	Local transmission amplitude t and phase φ shape the output field.
已产生光子对	Photon pairs generated
已锁定	Locked
待对准	Not aligned
微结构图为示意，不对应可制造的纳米结构版图。	The microstructure view is illustrative, not a fabrication layout.
慢速观察	Slow motion
拖动芯片进入绿色目标框，保持对准 2 秒，观察光阱阵列形成。	Drag the chip into the green target and hold for 2 seconds to form the trap array.
拖动芯片，对准绿色目标框	Drag the chip into the green target
探索微观世界的光与量子	Explore light and quantum phenomena
提供照明光场	Supply the incident field
教学模型 · 产生概率与探测效率已简化，动画事件率不对应真实实验值。	Illustrative model: simplified generation and detection rates, not measured event rates.
整形光场	Shaped field
方形阵列	square array
晶体处于最佳匹配位置	Crystal is phase matched
暂停演示	Pause
暂停	Pause
概念模型 · 非等比例	Conceptual model · Not to scale
正在自动对准…	Aligning automatically…
水平位置	Horizontal position
泵浦光子能量 = 信号光子能量 + 闲置光子能量	Pump energy = Signal energy + Idler energy
泵浦功率	Pump power
泵浦波长	Pump wavelength
演示已暂停 · 点击“继续”恢复动画与计时	Paused. Select Resume to continue the animation and timer.
演示运行中	Running
激光入射	Laser input
激光提供入射光场。这个演示调节的是相对光强，未指定具体波长、原子种类和激光功率。真实光镊的形成依赖失谐、偏振、光束质量及原子极化率等条件。	The laser supplies the incident field. This demonstration adjusts relative intensity without specifying wavelength, atom species or absolute power. Real optical trapping also depends on detuning, polarization, beam quality and atomic polarizability.
点击实验台上的器件，查看它的作用。	Select a component to learn what it does.
点环形阵列	-point ring array
焦平面 · 光阱阵列	Focal plane · Trap array
目标位置	Target position
目标光阱数	Target trap count
相位匹配角偏差	Phase-matching angle offset
相位匹配	Phase matching
相位工程	Phase engineering
相对偏移 · 中心位置为 0	Relative offset · Center = 0
相对入射光强	Relative input intensity
相对焦点光强	Relative focal intensity
研究参考：真空内超表面光阱阵列	Reference: in-vacuum metasurface trap arrays
稳定中	Stabilizing
稳定锁定计时	Lock stability timer
空间相位延迟	Spatial phase delay
等待对准	Awaiting alignment
纳米柱阵列与相位延迟示意图，非真实制造版图。	Illustration of nanopillars and phase delay, not a fabrication layout.
纳米结构调制局部相位 · 示意图，非真实版图	Local phase modulation · Illustration, not a fabrication layout
纳米结构调制波前	Nanostructures shape the wavefront
继续	Resume
